"統計名：","犯罪統計"
"表番号："
"表題：","第３表　刑法犯総数　都道府県別　認知・検挙件数・検挙人員"
"実施年月：","2016年","-"
"市区町村時点（年月日）：","-"

"***","数字が得られないもの"
"-","-"

"","","","","","100","","110","","120","","130",""
"時間軸(年次) コード","時間軸(年次)","管区警察局 コード","管区警察局","/認知・検挙件数・検挙人員","認知件数【件】","注釈","検挙件数【件】","注釈","検挙率【%】","注釈","検挙人員【人】","注釈"
"2016000000","2016年","00000","全国","","996120","","337066","","33.8","","226376",""
"2016000000","2016年","01000","北海道","","32013","","13033","","40.7","","8460",""
"2016000000","2016年","01010","札幌方面","","22865","","8877","","38.8","","5462",""
"2016000000","2016年","01020","函館方面","","2244","","988","","44.0","","616",""
"2016000000","2016年","01030","旭川方面","","3000","","1359","","45.3","","1057",""
"2016000000","2016年","01040","釧路方面","","2873","","1288","","44.8","","897",""
"2016000000","2016年","01050","北見方面","","1031","","521","","50.5","","428",""
"2016000000","2016年","02900","東北管区","","45157","","19045","","42.2","","11760",""
"2016000000","2016年","02000","青森県","","5050","","2274","","45.0","","1621",""
"2016000000","2016年","03000","岩手県","","4223","","1891","","44.8","","1282",""
"2016000000","2016年","04000","宮城県","","16466","","5599","","34.0","","3209",""
"2016000000","2016年","05000","秋田県","","2947","","2041","","69.3","","1364",""
"2016000000","2016年","06000","山形県","","4896","","3156","","64.5","","1910",""
"2016000000","2016年","07000","福島県","","11575","","4084","","35.3","","2374",""
"2016000000","2016年","13000","東京都","","134619","","40091","","29.8","","31044",""
"2016000000","2016年","03900","関東管区","","290706","","99593","","34.3","","65127",""
"2016000000","2016年","08000","茨城県","","26607","","9216","","34.6","","4873",""
"2016000000","2016年","09000","栃木県","","13253","","5180","","39.1","","2841",""
"2016000000","2016年","10000","群馬県","","14006","","7004","","50.0","","4063",""
"2016000000","2016年","11000","埼玉県","","69456","","18051","","26.0","","12739",""
"2016000000","2016年","12000","千葉県","","57277","","15039","","26.3","","10158",""
"2016000000","2016年","14000","神奈川県","","58127","","22964","","39.5","","16356",""
"2016000000","2016年","15000","新潟県","","14149","","6154","","43.5","","3731",""
"2016000000","2016年","19000","山梨県","","5070","","2032","","40.1","","1143",""
"2016000000","2016年","20000","長野県","","10664","","4353","","40.8","","2411",""
"2016000000","2016年","22000","静岡県","","22097","","9600","","43.4","","6812",""
"2016000000","2016年","04900","中部管区","","115214","","38457","","33.4","","23933",""
"2016000000","2016年","16000","富山県","","5394","","2368","","43.9","","1584",""
"2016000000","2016年","17000","石川県","","6202","","2684","","43.3","","1687",""
"2016000000","2016年","18000","福井県","","3645","","1905","","52.3","","1153",""
"2016000000","2016年","21000","岐阜県","","15607","","4827","","30.9","","2845",""
"2016000000","2016年","23000","愛知県","","70254","","22116","","31.5","","14505",""
"2016000000","2016年","24000","三重県","","14112","","4557","","32.3","","2159",""
"2016000000","2016年","05900","近畿管区","","221038","","57106","","25.8","","40623",""
"2016000000","2016年","25000","滋賀県","","9573","","3341","","34.9","","2172",""
"2016000000","2016年","26000","京都府","","20479","","6293","","30.7","","4489",""
"2016000000","2016年","27000","大阪府","","122136","","23801","","19.5","","17484",""
"2016000000","2016年","28000","兵庫県","","53183","","16486","","31.0","","12145",""
"2016000000","2016年","29000","奈良県","","9307","","4524","","48.6","","2415",""
"2016000000","2016年","30000","和歌山県","","6360","","2661","","41.8","","1918",""
"2016000000","2016年","06900","中国管区","","42653","","18694","","43.8","","12730",""
"2016000000","2016年","31000","鳥取県","","2907","","1796","","61.8","","942",""
"2016000000","2016年","32000","島根県","","3047","","1816","","59.6","","858",""
"2016000000","2016年","33000","岡山県","","12740","","5132","","40.3","","3782",""
"2016000000","2016年","34000","広島県","","17107","","6792","","39.7","","4989",""
"2016000000","2016年","35000","山口県","","6852","","3158","","46.1","","2159",""
"2016000000","2016年","07900","四国管区","","24596","","11332","","46.1","","6586",""
"2016000000","2016年","36000","徳島県","","3953","","2010","","50.8","","1103",""
"2016000000","2016年","37000","香川県","","6075","","2985","","49.1","","1788",""
"2016000000","2016年","38000","愛媛県","","9776","","4310","","44.1","","2632",""
"2016000000","2016年","39000","高知県","","4792","","2027","","42.3","","1063",""
"2016000000","2016年","08900","九州管区","","90124","","39715","","44.1","","26113",""
"2016000000","2016年","40000","福岡県","","46619","","17849","","38.3","","10880",""
"2016000000","2016年","41000","佐賀県","","5089","","2658","","52.2","","1531",""
"2016000000","2016年","42000","長崎県","","4659","","2836","","60.9","","1866",""
"2016000000","2016年","43000","熊本県","","8923","","4386","","49.2","","2944",""
"2016000000","2016年","44000","大分県","","4054","","2290","","56.5","","1548",""
"2016000000","2016年","45000","宮崎県","","5346","","2382","","44.6","","1642",""
"2016000000","2016年","46000","鹿児島県","","7352","","3191","","43.4","","2330",""
"2016000000","2016年","47000","沖縄県","","8082","","4123","","51.0","","3372",""
"2015000000","2015年","00000","全国","","1098969","","357484","","32.5","","239355",""
"2015000000","2015年","01000","北海道","","35457","","12225","","34.5","","8426",""
"2015000000","2015年","01010","札幌方面","","24749","","7748","","31.3","","5344",""
"2015000000","2015年","01020","函館方面","","2407","","996","","41.4","","661",""
"2015000000","2015年","01030","旭川方面","","3497","","1589","","45.4","","1098",""
"2015000000","2015年","01040","釧路方面","","3641","","1420","","39.0","","978",""
"2015000000","2015年","01050","北見方面","","1163","","472","","40.6","","345",""
"2015000000","2015年","02900","東北管区","","49071","","19715","","40.2","","12549",""
"2015000000","2015年","02000","青森県","","5486","","2392","","43.6","","1680",""
"2015000000","2015年","03000","岩手県","","4884","","2159","","44.2","","1430",""
"2015000000","2015年","04000","宮城県","","17742","","5859","","33.0","","3457",""
"2015000000","2015年","05000","秋田県","","3154","","1903","","60.3","","1423",""
"2015000000","2015年","06000","山形県","","5014","","2955","","58.9","","1918",""
"2015000000","2015年","07000","福島県","","12791","","4447","","34.8","","2641",""
"2015000000","2015年","13000","東京都","","148182","","43516","","29.4","","32627",""
"2015000000","2015年","03900","関東管区","","313124","","108233","","34.6","","70067",""
"2015000000","2015年","08000","茨城県","","29085","","8896","","30.6","","5141",""
"2015000000","2015年","09000","栃木県","","14630","","6074","","41.5","","3102",""
"2015000000","2015年","10000","群馬県","","16275","","7931","","48.7","","4644",""
"2015000000","2015年","11000","埼玉県","","73456","","19056","","25.9","","13260",""
"2015000000","2015年","12000","千葉県","","61656","","17799","","28.9","","11164",""
"2015000000","2015年","14000","神奈川県","","61664","","26416","","42.8","","18185",""
"2015000000","2015年","15000","新潟県","","14970","","6104","","40.8","","4050",""
"2015000000","2015年","19000","山梨県","","6406","","1787","","27.9","","1245",""
"2015000000","2015年","20000","長野県","","11502","","4461","","38.8","","2785",""
"2015000000","2015年","22000","静岡県","","23480","","9709","","41.4","","6491",""
"2015000000","2015年","04900","中部管区","","127581","","40210","","31.5","","25159",""
"2015000000","2015年","16000","富山県","","6115","","2137","","34.9","","1454",""
"2015000000","2015年","17000","石川県","","7585","","3164","","41.7","","1760",""
"2015000000","2015年","18000","福井県","","3880","","1953","","50.3","","1284",""
"2015000000","2015年","21000","岐阜県","","18160","","5792","","31.9","","2990",""
"2015000000","2015年","23000","愛知県","","76663","","22299","","29.1","","15393",""
"2015000000","2015年","24000","三重県","","15178","","4865","","32.1","","2278",""
"2015000000","2015年","05900","近畿管区","","244796","","58634","","24.0","","42335",""
"2015000000","2015年","25000","滋賀県","","11308","","4446","","39.3","","2286",""
"2015000000","2015年","26000","京都府","","24068","","6382","","26.5","","4767",""
"2015000000","2015年","27000","大阪府","","132471","","23853","","18.0","","18563",""
"2015000000","2015年","28000","兵庫県","","59374","","16039","","27.0","","12193",""
"2015000000","2015年","29000","奈良県","","10036","","4359","","43.4","","2308",""
"2015000000","2015年","30000","和歌山県","","7539","","3555","","47.2","","2218",""
"2015000000","2015年","06900","中国管区","","47914","","20314","","42.4","","13735",""
"2015000000","2015年","31000","鳥取県","","3388","","1785","","52.7","","1030",""
"2015000000","2015年","32000","島根県","","3342","","1905","","57.0","","935",""
"2015000000","2015年","33000","岡山県","","14706","","5612","","38.2","","3780",""
"2015000000","2015年","34000","広島県","","18777","","7391","","39.4","","5631",""
"2015000000","2015年","35000","山口県","","7701","","3621","","47.0","","2359",""
"2015000000","2015年","07900","四国管区","","28826","","12381","","43.0","","7237",""
"2015000000","2015年","36000","徳島県","","4543","","2374","","52.3","","1168",""
"2015000000","2015年","37000","香川県","","7212","","3242","","45.0","","2117",""
"2015000000","2015年","38000","愛媛県","","11407","","4835","","42.4","","2786",""
"2015000000","2015年","39000","高知県","","5664","","1930","","34.1","","1166",""
"2015000000","2015年","08900","九州管区","","104018","","42256","","40.6","","27220",""
"2015000000","2015年","40000","福岡県","","54663","","19372","","35.4","","10992",""
"2015000000","2015年","41000","佐賀県","","5422","","3463","","63.9","","1639",""
"2015000000","2015年","42000","長崎県","","4965","","2914","","58.7","","2072",""
"2015000000","2015年","43000","熊本県","","10274","","4704","","45.8","","3340",""
"2015000000","2015年","44000","大分県","","4843","","2153","","44.5","","1628",""
"2015000000","2015年","45000","宮崎県","","6632","","2490","","37.5","","1828",""
"2015000000","2015年","46000","鹿児島県","","7756","","2955","","38.1","","2426",""
"2015000000","2015年","47000","沖縄県","","9463","","4205","","44.4","","3295",""
"2014000000","2014年","00000","全国","","1212163","","370568","","30.6","","251115",""
"2014000000","2014年","01000","北海道","","40359","","13862","","34.3","","8835",""
"2014000000","2014年","01010","札幌方面","","28171","","8694","","30.9","","5557",""
"2014000000","2014年","01020","函館方面","","2975","","1171","","39.4","","767",""
"2014000000","2014年","01030","旭川方面","","4113","","1874","","45.6","","1070",""
"2014000000","2014年","01040","釧路方面","","3979","","1556","","39.1","","1061",""
"2014000000","2014年","01050","北見方面","","1121","","567","","50.6","","380",""
"2014000000","2014年","02900","東北管区","","52775","","20754","","39.3","","13274",""
"2014000000","2014年","02000","青森県","","5753","","2505","","43.5","","1915",""
"2014000000","2014年","03000","岩手県","","5115","","2143","","41.9","","1508",""
"2014000000","2014年","04000","宮城県","","18630","","5981","","32.1","","3537",""
"2014000000","2014年","05000","秋田県","","3603","","2323","","64.5","","1436",""
"2014000000","2014年","06000","山形県","","5358","","3081","","57.5","","2037",""
"2014000000","2014年","07000","福島県","","14316","","4721","","33.0","","2841",""
"2014000000","2014年","13000","東京都","","160120","","41909","","26.2","","32651",""
"2014000000","2014年","03900","関東管区","","338566","","116433","","34.4","","74309",""
"2014000000","2014年","08000","茨城県","","30502","","9646","","31.6","","5068",""
"2014000000","2014年","09000","栃木県","","16345","","6182","","37.8","","3594",""
"2014000000","2014年","10000","群馬県","","17782","","8229","","46.3","","4627",""
"2014000000","2014年","11000","埼玉県","","76857","","21300","","27.7","","15190",""
"2014000000","2014年","12000","千葉県","","68026","","20591","","30.3","","11448",""
"2014000000","2014年","14000","神奈川県","","67295","","26995","","40.1","","18841",""
"2014000000","2014年","15000","新潟県","","16424","","6460","","39.3","","4232",""
"2014000000","2014年","19000","山梨県","","6528","","1991","","30.5","","1357",""
"2014000000","2014年","20000","長野県","","13206","","5348","","40.5","","3198",""
"2014000000","2014年","22000","静岡県","","25601","","9691","","37.9","","6754",""
"2014000000","2014年","04900","中部管区","","141367","","38829","","27.5","","25000",""
"2014000000","2014年","16000","富山県","","6223","","1747","","28.1","","1235",""
"2014000000","2014年","17000","石川県","","7494","","3065","","40.9","","1656",""
"2014000000","2014年","18000","福井県","","4871","","2705","","55.5","","1368",""
"2014000000","2014年","21000","岐阜県","","20192","","5197","","25.7","","3067",""
"2014000000","2014年","23000","愛知県","","85037","","20720","","24.4","","15227",""
"2014000000","2014年","24000","三重県","","17550","","5395","","30.7","","2447",""
"2014000000","2014年","05900","近畿管区","","274118","","62383","","22.8","","45839",""
"2014000000","2014年","25000","滋賀県","","12435","","4294","","34.5","","2452",""
"2014000000","2014年","26000","京都府","","28671","","7475","","26.1","","5495",""
"2014000000","2014年","27000","大阪府","","148257","","25239","","17.0","","19648",""
"2014000000","2014年","28000","兵庫県","","64911","","16945","","26.1","","13233",""
"2014000000","2014年","29000","奈良県","","11140","","5203","","46.7","","2644",""
"2014000000","2014年","30000","和歌山県","","8704","","3227","","37.1","","2367",""
"2014000000","2014年","06900","中国管区","","55876","","22395","","40.1","","14939",""
"2014000000","2014年","31000","鳥取県","","4077","","2139","","52.5","","1042",""
"2014000000","2014年","32000","島根県","","4772","","2828","","59.3","","1079",""
"2014000000","2014年","33000","岡山県","","17209","","5895","","34.3","","4338",""
"2014000000","2014年","34000","広島県","","21123","","7786","","36.9","","5938",""
"2014000000","2014年","35000","山口県","","8695","","3747","","43.1","","2542",""
"2014000000","2014年","07900","四国管区","","31754","","11758","","37.0","","7714",""
"2014000000","2014年","36000","徳島県","","4643","","2122","","45.7","","1263",""
