"統計名：","住民基本台帳人口移動報告 平成28年住民基本台帳人口移動報告"
"表番号：","005"
"表題：","都道府県内移動者数，他都道府県からの転入者数及び他都道府県への転出者数－全国，都道府県，21大都市（平成27年，28年）"
"実施年月：","2016年","-"
"市区町村時点（年月日）：","-"

"***","調査していないため該当数値がないもの"
"-","定義上該当数値がないもの"

"","","","","","001","","001","","001","","002","","002","","002","","003","","003","","003","","004","","004","","004","","005","","005","","005","","006","","006","","006","","007","","007","","007","","008","","008","","008","","009","","009","","009",""
"","","","","/実数・移動率・日本人人口","実数　都道府県（自都市）内移動者","","実数　都道府県（自都市）内移動者","","実数　都道府県（自都市）内移動者","","実数　他都道府県（他市町村）からの転入者","","実数　他都道府県（他市町村）からの転入者","","実数　他都道府県（他市町村）からの転入者","","実数　他都道府県（他市町村）への転出者","","実数　他都道府県（他市町村）への転出者","","実数　他都道府県（他市町村）への転出者","","実数　転入超過","","実数　転入超過","","実数　転入超過","","移動率　都道府県（自都市）内移動者【％】","","移動率　都道府県（自都市）内移動者【％】","","移動率　都道府県（自都市）内移動者【％】","","移動率　他都道府県（他市町村）からの転入者【％】","","移動率　他都道府県（他市町村）からの転入者【％】","","移動率　他都道府県（他市町村）からの転入者【％】","","移動率　他都道府県（他市町村）への転出者【％】","","移動率　他都道府県（他市町村）への転出者【％】","","移動率　他都道府県（他市町村）への転出者【％】","","移動率　転入超過【％】","","移動率　転入超過【％】","","移動率　転入超過【％】","","日本人人口【千人】","","日本人人口【千人】","","日本人人口【千人】",""
"","","","","","050","","054","","057","","050","","054","","057","","050","","054","","057","","050","","054","","057","","050","","054","","057","","050","","054","","057","","050","","054","","057","","050","","054","","057","","050","","054","","057",""
"国籍 コード","国籍","全国・都道府県・大都市4 コード","全国・都道府県・大都市4","/推移2","平成２７年","注釈","平成２８年","注釈","平成２７年～２８年の増減","注釈","平成２７年","注釈","平成２８年","注釈","平成２７年～２８年の増減","注釈","平成２７年","注釈","平成２８年","注釈","平成２７年～２８年の増減","注釈","平成２７年","注釈","平成２８年","注釈","平成２７年～２８年の増減","注釈","平成２７年","注釈","平成２８年","注釈","平成２７年～２８年の増減","注釈","平成２７年","注釈","平成２８年","注釈","平成２７年～２８年の増減","注釈","平成２７年","注釈","平成２８年","注釈","平成２７年～２８年の増減","注釈","平成２７年","注釈","平成２８年","注釈","平成２７年～２８年の増減","注釈","平成２７年","注釈","平成２８年","注釈","平成２７年～２８年の増減","注釈"
"61000","日本人移動者","00000","全国","","2706745","","2605636","","-101109","","2334738","","2275331","","-59407","","2334738","","2275331","","-59407","","0","","0","","0","","2.16","","2.08","","***","","1.86","","1.82","","***","","1.86","","1.82","","***","","0.00","","0.00","","***","","125319","","125020","","***",""
"61000","日本人移動者","01000","北海道","","199448","","192225","","-7223","","47584","","48544","","960","","56446","","55418","","-1028","","-8862","","-6874","","1988","","3.72","","3.61","","***","","0.89","","0.91","","***","","1.05","","1.04","","***","","-0.17","","-0.13","","***","","5360","","5327","","***",""
"61000","日本人移動者","02000","青森県","","17531","","16577","","-954","","17724","","17061","","-663","","24284","","23384","","-900","","-6560","","-6323","","237","","1.34","","1.29","","***","","1.36","","1.32","","***","","1.86","","1.81","","***","","-0.50","","-0.49","","***","","1305","","1290","","***",""
"61000","日本人移動者","03000","岩手県","","19337","","18142","","-1195","","17636","","17113","","-523","","21758","","20983","","-775","","-4122","","-3870","","252","","1.52","","1.44","","***","","1.38","","1.35","","***","","1.71","","1.66","","***","","-0.32","","-0.31","","***","","1275","","1263","","***",""
"61000","日本人移動者","04000","宮城県","","60222","","56707","","-3515","","48315","","47124","","-1191","","48391","","47607","","-784","","-76","","-483","","-407","","2.60","","2.45","","***","","2.08","","2.04","","***","","2.09","","2.06","","***","","-0.00","","-0.02","","***","","2320","","2314","","***",""
"61000","日本人移動者","05000","秋田県","","10517","","9810","","-707","","11710","","11353","","-357","","16202","","15751","","-451","","-4492","","-4398","","94","","1.03","","0.97","","***","","1.15","","1.13","","***","","1.59","","1.56","","***","","-0.44","","-0.44","","***","","1020","","1007","","***",""
"61000","日本人移動者","06000","山形県","","14607","","14590","","-17","","13199","","12921","","-278","","17342","","16560","","-782","","-4143","","-3639","","504","","1.31","","1.32","","***","","1.18","","1.17","","***","","1.55","","1.50","","***","","-0.37","","-0.33","","***","","1118","","1107","","***",""
"61000","日本人移動者","07000","福島県","","26462","","26832","","370","","28209","","25505","","-2704","","30604","","31344","","740","","-2395","","-5839","","-3444","","1.39","","1.42","","***","","1.48","","1.35","","***","","1.61","","1.66","","***","","-0.13","","-0.31","","***","","1905","","1891","","***",""
"61000","日本人移動者","08000","茨城県","","46837","","44681","","-2156","","45430","","45166","","-264","","50256","","48875","","-1381","","-4826","","-3709","","1117","","1.63","","1.56","","***","","1.58","","1.58","","***","","1.75","","1.71","","***","","-0.17","","-0.13","","***","","2875","","2861","","***",""
"61000","日本人移動者","09000","栃木県","","24688","","23726","","-962","","30718","","29760","","-958","","33642","","32748","","-894","","-2924","","-2988","","-64","","1.27","","1.22","","***","","1.58","","1.53","","***","","1.73","","1.69","","***","","-0.15","","-0.15","","***","","1948","","1939","","***",""
