Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,"Population, total",SP.POP.TOTL,0.054211,0.055438,0.056225,0.056695,0.057032,0.05736,0.057715,0.058055,0.058386,0.058726,0.059063,0.05944,0.05984,0.060243,0.060528,0.060657,0.060586,0.060366,0.060103,0.05998,0.060096,0.060567,0.061345,0.062201,0.062836,0.063026,0.062644,0.061833,0.061079,0.061032,0.062149,0.064622,0.068235,0.072504,0.0767,0.080324,0.0832,0.085451,0.087277,0.089005,0.090853,0.092898,0.094992,0.097017,0.098737,0.100031,0.100832,0.10122,0.101353,0.101453,0.101669,0.102053,0.102577,0.103187,0.103795,0.104341,0.104822,0.105264
Afghanistan,AFG,"Population, total",SP.POP.TOTL,8.996351,9.166764,9.345868,9.533954,9.731361,9.938414,10.152331,10.37263,10.604346,10.854428,11.126123,11.417825,11.72194,12.027822,12.321541,12.590286,12.840299,13.067538,13.237734,13.306695,13.24837,13.053954,12.749645,12.389269,12.047115,11.78305,11.601041,11.502761,11.540888,11.777609,12.249114,12.993657,13.981231,15.095099,16.172719,17.099541,17.822884,18.381605,18.863999,19.403676,20.093756,20.966463,21.979923,23.064851,24.118979,25.070798,25.89345,26.616792,27.294031,28.004331,28.803167,29.708599,30.696958,31.731688,32.75802,33.736494,34.656032,35.530081
Angola,AGO,"Population, total",SP.POP.TOTL,5.643182,5.753024,5.866061,5.980417,6.093321,6.203299,6.30977,6.414995,6.523791,6.642632,6.776381,6.927269,7.094834,7.27796,7.474338,7.682479,7.900997,8.130988,8.376147,8.641521,8.9299,9.244507,9.582156,9.931562,10.277321,10.609042,10.921037,11.218268,11.513968,11.827237,12.171441,12.553446,12.968345,13.403734,13.841301,14.268994,14.682284,15.088981,15.504318,15.949766,16.440924,16.983266,17.572649,18.203369,18.865716,19.552542,20.262399,20.997687,21.75942,22.549547,23.369131,24.218565,25.09615,25.99834,26.920466,27.859305,28.813463,29.784193
Albania,ALB,"Population, total",SP.POP.TOTL,1.6088,1.6598,1.711319,1.762621,1.814135,1.864791,1.914573,1.965598,2.022272,2.081695,2.135479,2.187853,2.243126,2.296752,2.350124,2.404831,2.458526,2.513546,2.566266,2.617832,2.671997,2.726056,2.784278,2.84396,2.904429,2.964762,3.022635,3.083605,3.142336,3.227943,3.286542,3.26679,3.247039,3.227287,3.207536,3.187784,3.168033,3.148281,3.12853,3.108778,3.089027,3.060173,3.05101,3.039616,3.026939,3.011487,2.992547,2.970017,2.947314,2.927519,2.913021,2.905195,2.900401,2.895092,2.889104,2.880703,2.876101,2.873457
Andorra,AND,"Population, total",SP.POP.TOTL,0.013411,0.014375,0.01537,0.016412,0.017469,0.018549,0.019647,0.020758,0.02189,0.023058,0.024276,0.025559,0.026892,0.028232,0.02952,0.030705,0.031777,0.032771,0.033737,0.034818,0.036067,0.0375,0.039114,0.040867,0.042706,0.0446,0.046517,0.048455,0.050434,0.052448,0.054509,0.056671,0.058888,0.060971,0.062677,0.06385,0.06436,0.064327,0.064142,0.06437,0.06539,0.067341,0.070049,0.073182,0.076244,0.078867,0.080991,0.082683,0.083861,0.084462,0.084449,0.083751,0.082431,0.080788,0.079223,0.078014,0.077281,0.076965
Arab World,ARB,"Population, total",SP.POP.TOTL,92.490932,95.044497,97.682294,100.411076,103.239902,106.174988,109.230593,112.406932,115.680165,119.016542,122.398374,125.807419,129.269375,132.863416,136.696761,140.843298,145.332378,150.133054,155.183724,160.392488,165.68949,171.05195,176.490084,182.005827,187.610756,193.310301,199.093767,204.942549,210.844771,216.787402,224.735446,230.829868,235.037179,241.286091,247.43593,255.029671,260.843462,266.575075,272.235146,277.962869,283.832016,289.850357,296.026575,302.434519,309.162029,316.264728,323.773264,331.653797,339.825483,348.145094,356.508908,364.895878,373.306993,381.702086,390.043028,398.30496,406.45269,414.491886
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,0.092634,0.101078,0.112472,0.125566,0.138529,0.150362,0.160481,0.170283,0.183194,0.20382,0.235499,0.278808,0.33276,0.397174,0.471364,0.554324,0.646943,0.748117,0.852262,0.95204,1.042384,1.1209,1.189545,1.25306,1.318478,1.391052,1.472218,1.560718,1.655849,1.756043,1.860174,1.970026,2.086639,2.207405,2.328686,2.44882,2.57102,2.70001,2.838145,2.988162,3.154925,3.326032,3.507232,3.741932,4.087931,4.579562,5.242032,6.044067,6.894278,7.666393,8.270684,8.672475,8.900453,9.006263,9.070867,9.154302,9.269612,9.400145
Argentina,ARG,"Population, total",SP.POP.TOTL,20.619075,20.953077,21.287682,21.62184,21.953929,22.28339,22.608748,22.932203,23.261278,23.605987,23.973058,24.366439,24.782949,25.213388,25.644506,26.066975,26.477152,26.878565,27.277741,27.684534,28.105888,28.543364,28.993987,29.454738,29.920904,30.388783,30.857244,31.326473,31.795517,32.263561,32.729739,33.193918,33.655151,34.110917,34.558115,34.994814,35.419682,35.833969,36.24159,36.648068,37.057452,37.471509,37.88937,38.309379,38.728696,39.145488,39.55889,39.970224,40.382389,40.799407,41.223889,41.656879,42.096739,42.539925,42.981515,43.417765,43.84743,44.271041
Armenia,ARM,"Population, total",SP.POP.TOTL,1.87412,1.941491,2.009526,2.077575,2.144998,2.211316,2.276031,2.339124,2.40114,2.462925,2.525065,2.587706,2.650484,2.712781,2.773747,2.832757,2.889579,2.944379,2.997411,3.049105,3.099751,3.148092,3.193686,3.238594,3.285595,3.335935,3.392256,3.451942,3.504651,3.536469,3.538165,3.505251,3.44281,3.363098,3.28366,3.217342,3.168215,3.133086,3.108684,3.089017,3.069588,3.050655,3.033897,3.017806,3.000612,2.981259,2.9585,2.933056,2.90822,2.888584,2.877311,2.875581,2.881922,2.893509,2.90622,2.91695,2.924816,2.93045
American Samoa,ASM,"Population, total",SP.POP.TOTL,0.020013,0.020486,0.021117,0.021882,0.022698,0.02352,0.024321,0.025116,0.025885,0.026614,0.027292,0.027916,0.028492,0.029014,0.029488,0.029932,0.030321,0.030689,0.031102,0.031673,0.032457,0.033493,0.034738,0.03616,0.037688,0.039241,0.040837,0.04245,0.044047,0.045593,0.047038,0.048375,0.049593,0.05072,0.051803,0.052868,0.053929,0.054941,0.055901,0.05677,0.057521,0.058175,0.058731,0.059117,0.059264,0.059118,0.05865,0.057903,0.05703,0.056227,0.055637,0.05532,0.05523,0.055307,0.055437,0.055537,0.055599,0.055641
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,0.055339,0.056144,0.057144,0.058294,0.059524,0.060781,0.062059,0.06336,0.064655,0.06591,0.067098,0.068188,0.069176,0.070066,0.070878,0.071609,0.072285,0.072875,0.073324,0.073528,0.073442,0.073066,0.072448,0.071639,0.070725,0.069782,0.068809,0.067845,0.067058,0.066627,0.066696,0.067307,0.068427,0.069938,0.071719,0.073619,0.075628,0.077739,0.079851,0.081831,0.083584,0.085057,0.086266,0.087293,0.088257,0.089253,0.090301,0.091381,0.092478,0.093581,0.094661,0.095719,0.096777,0.097824,0.098875,0.099923,0.100963,0.102012
Australia,AUS,"Population, total",SP.POP.TOTL,10.276477,10.483,10.742,10.95,11.167,11.388,11.651,11.799,12.009,12.263,12.507,12.937,13.177,13.38,13.723,13.893,14.033,14.192,14.358,14.514,14.692,14.927,15.178,15.369,15.544,15.758,16.0184,16.2639,16.5322,16.8144,17.0651,17.284,17.495,17.667,17.855,18.072,18.311,18.517,18.711,18.926,19.153,19.413,19.6514,19.8954,20.1274,20.3948,20.6979,20.8276,21.2492,21.6917,22.03175,22.340024,22.742475,23.145901,23.504138,23.850784,24.210809,24.598933
