"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","172.16.244.46","230.0.0.1","UDP","92","53417  >  6666 Len=50"
"2","0.000002","fe80::f083:858a:a36:47cd","ff02::1:3","LLMNR","95","Standard query 0x6398 A BRW9C305B83489B"
"3","0.000845","172.16.242.246","224.0.0.252","LLMNR","75","Standard query 0x6398 A BRW9C305B83489B"
"4","0.000847","172.16.255.232","172.16.255.255","NBNS","92","Name query NB WPAD<00>"
"5","0.104112","172.16.245.28","172.16.255.255","NBNS","92","Name query NB WPAD<00>"
"6","0.104114","172.16.244.44","172.16.255.255","NBNS","110","Registration NB LAPTOP-9OAVU2GE<20>"
"7","0.104907","172.16.246.67","224.0.0.251","MDNS","154","Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question PTR _homekit._tcp.local, ""QU"" question PTR _sleep-proxy._udp.local, ""QU"" question OPT"
"8","0.211658","IntelCor_56:d5:15","Broadcast","ARP","60","Who has 172.16.0.1? Tell 172.16.244.44"
"9","0.211661","IntelCor_20:d3:a7","Broadcast","ARP","60","Who has 172.16.252.47? Tell 172.16.240.95"
"10","0.212073","Google_73:1a:e5","Broadcast","ARP","60","Who has 172.16.240.36? Tell 172.16.246.212"
"11","0.212075","172.16.254.213","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"12","0.212076","172.16.244.44","172.16.255.255","NBNS","110","Registration NB LAPTOP-9OAVU2GE<00>"
"13","0.226747","172.16.243.198","104.16.58.5","TCP","55","56864  >  443 [ACK] Seq=1 Ack=1 Win=252 Len=1 [TCP segment of a reassembled PDU]"
"14","0.231285","104.16.58.5","172.16.243.198","TCP","66","443  >  56864 [ACK] Seq=1 Ack=2 Win=33 Len=0 SLE=1 SRE=2"
"15","0.312912","172.16.247.115","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"16","0.312916","IntelCor_56:d5:15","Broadcast","ARP","60","Who has 172.16.0.1? Tell 172.16.244.44"
"17","0.313874","172.16.243.208","172.16.255.255","BROWSER","228","Request Announcement DESKTOP-7N9UJ5J"
"18","0.313876","172.16.240.229","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"19","0.417497","172.16.245.159","224.0.0.251","MDNS","141","Standard query 0x0000 TXT \\345\\240\\200\\346\\261\\237\\347\\245\\245\\345\\244\\252\\346\\234\\227\\343\\201\\256MacBook._companion-link._tcp.local, ""QM"" question OPT"
"20","0.417500","172.16.240.72","224.0.0.251","MDNS","145","Standard query 0x0000 TXT \\346\\235\\261\\346\\265\\267\\346\\236\\227\\346\\213\\223\\345\\274\\245\\343\\201\\256MacBook Pro._companion-link._tcp.local, ""QM"" question OPT"
"21","0.418382","fe80::1ce8:93ee:4a72:172f","ff02::fb","MDNS","165","Standard query 0x0000 TXT \\346\\235\\261\\346\\265\\267\\346\\236\\227\\346\\213\\223\\345\\274\\245\\343\\201\\256MacBook Pro._companion-link._tcp.local, ""QM"" question OPT"
"22","0.418384","172.16.245.113","172.16.255.255","NBNS","92","Name query NB BUESIIXSFYLZGC<00>"
"23","0.418385","172.16.245.113","172.16.255.255","NBNS","92","Name query NB JLTXKVHVLXND<00>"
